File URL,File Name
ftp://extlegal@ftp.perupetro.com.pe/LOTE 95/LOTE 95-1.pdf,pe_95_dd20050407_EXPLORACION-LICENCIA_Gran-Tierra
ftp://extlegal@ftp.perupetro.com.pe/LOTE%20I/L%20I-1.pdf,pe_I_dd19911227_EXPLOTACION-SERVICIOS_GMP
ftp://extlegal@ftp.perupetro.com.pe/LOTE II/L II-1.pdf,pe_II_dd19960105_EXPLOTACION-LICENCIA_Petrolera
,pe_III_dd_EXPLOTACION-LICENCIA_Interoil
,pe_IV_dd_EXPLOTACION-LICENCIA_Interoil
ftp://extlegal@ftp.perupetro.com.pe/LOTE IX/L IX-1.pdf,pe_IX_dd19930630_EXPLOTACION-SERVICIOS_Unipetro
ftp://extlegal@ftp.perupetro.com.pe/LOTE V/L V-1.pdf,pe_V_dd19931008_EXPLOTACION-SERVICIOS_GMP
,pe_VI_dd_EXPLOTACION-SERVICIOS_Sapet
,pe_VII_dd_EXPLOTACION-SERVICIOS_Sapet
ftp://extlegal@ftp.perupetro.com.pe/LOTE X/L X-1.pdf,pe_X_dd19940520_EXPLOTACION-LICENCIA_Petrobras
ftp://extlegal@ftp.perupetro.com.pe/LOTE XIII/LXIII-1.pdf,pe_XIII_dd19960530_EXPLOTACION-LICENCIA_Olympic
ftp://extlegal@ftp.perupetro.com.pe/LOTE XIII/LXIII-1.pdf,pe_XIII_dd19960530_EXPLOTACION-LICENCIA_Olympic
ftp://extlegal@ftp.perupetro.com.pe/LOTE XIX/L-XIX-1.pdf,pe_XIX_dd20031212_EXPLORACION-LICENCIA_BPZ
ftp://extlegal@ftp.perupetro.com.pe/LOTE XV/L XV-1.pdf,pe_XV_dd19980526_EXPLOTACION-LICENCIA_Petrolera
ftp://extlegal@ftp.perupetro.com.pe/LOTE XX/L-XX-1.pdf - Adobe Acrobat Professional.pdf,pe_XX_dd20060119_EXPLOTACION-LICENCIA_Petrolera
ftp://extlegal@ftp.perupetro.com.pe/LOTE XX/L-XX-1.pdf - Adobe Acrobat Professional.pdf,pe_XX_dd20060119_EXPLOTACION-LICENCIA_Petrolera
ftp://extlegal@ftp.perupetro.com.pe/LOTE XX/L-XX-1.pdf - Adobe Acrobat Professional.pdf,pe_XX_dd20060119_EXPLOTACION-LICENCIA_Petrolera
ftp://extlegal@ftp.perupetro.com.pe/LOTE XXI/L-XXI-1.pdf,pe_XXI_dd20060504_EXPLORACION-LICENCIA_Vale
ftp://extlegal@ftp.perupetro.com.pe/LOTE XXII/L-XXII-1.pdf,pe_XXII_dd20071121_EXPLORACION-LICENCIA_BPZ
ftp://extlegal@ftp.perupetro.com.pe/LOTE XXIII/L XX III-1.pdf,pe_XXIII_dd20071121_EXPLORACION-LICENCIA_BPZ
ftp://extlegal@ftp.perupetro.com.pe/LOTE XXIV/L XX IV-1.pdf,pe_XXIV_dd20070723_EXPLORACION-LICENCIA_Upland-Oil
ftp://extlegal@ftp.perupetro.com.pe/LOTE XXV/L XXV-1.pdf,pe_XXV_dd20071121_EXPLORACION-LICENCIA_Vetra
ftp://extlegal@ftp.perupetro.com.pe/LOTE XXVI/L XXVI-1.pdf,pe_XXVI_dd20071121_EXPLORACION-LICENCIA_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE XXVII/L XXVII-1.pdf,pe_XXVII_dd20090416_EXPLORACION-LICENCIA_Faulkner
ftp://extlegal@ftp.perupetro.com.pe/LOTE XXVIII/L XXVIII-1 .pdf,pe_XXVIII_dd20110923_EXPLORACION-LICENCIA_Pitkin
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-1/L Z1-1.pdf,pe_Z-1_dd20011130_EXPLOTACION-LICENCIA_BPZ
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-2B/LOTE Z-2B 1.pdf,pe_Z-2B_dd19931116_EXPLOTACION-SERVICIOS_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-33/L Z33-1.pdf,pe_Z-33_dd20040901_EXPLORACION-LICENCIA_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-34/L Z34-1.pdf,pe_Z-34_dd20070308_EXPLORACION-LICENCIA_Gold-Oil
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-35/LOTE Z 35-1.pdf,pe_Z-35_dd20050920_EXPLORACION-LICENCIA_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-36/L Z36-1.pdf,pe_Z-36_dd20060714_EXPLORACION-LICENCIA_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-38/L Z38-1.pdf,pe_Z-38_dd20070412_EXPLORACION-LICENCIA_Kei
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-45/L Z45-1.pdf,pe_Z-45_dd20071121_EXPLORACION-LICENCIA_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-46/L Z46-1.pdf,pe_Z-46_dd20071121_EXPLORACION-LICENCIA_SK
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-48/L Z48-1.pdf,pe_Z-48_dd20071121_EXPLORACION-LICENCIA_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-49/L Z49-1.pdf,pe_Z-49_dd20071121_EXPLORACION-LICENCIA_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-51/L Z51-1.pdf,pe_Z-51_dd20100716_EXPLORACION-LICENCIA_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-52/L Z52-1.pdf,pe_Z-52_dd20100716_EXPLORACION-LICENCIA_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-6/L Z-6_ 1.pdf,pe_Z-6_dd20020320_EXPLOTACION-LICENCIA_Savia
ftp://extlegal@ftp.perupetro.com.pe/LOTE Z-6/L Z-6_ 1.pdf,pe_Z-6_dd20020320_EXPLOTACION-LICENCIA_Savia
